Site,ID,H11,H12,H13,H21,H22,H23,H31,H32,H33,AveH1,AveH2,AveH3
DSW,2,3,4,,3,4,,4,4,,3.5,3.5,4
DSW,3,4,4,,4,4,,4,4,,4,4,4
DSW,4,4,4,,4,4,,4,4,,4,4,4
DSW,5,4,4,,3,4,,4,4,,4,3.5,4
DSW,6,4,4,,3,4,,3,4,,4,3.5,3.5
DSW,7,2,4,,2,3,,3,4,,3,2.5,3.5
DSW,8,4,4,,4,4,,4,4,,4,4,4
DSW,9,3,4,,3,4,,2,4,,3.5,3.5,3
DSW,10,4,4,,3,4,,3,4,,4,3.5,3.5
DSW,11,4,4,,3,4,,4,4,,4,3.5,4
DSW,12,4,4,,3,4,,4,4,,4,3.5,4
DSW,13,4,4,,3,4,,4,4,,4,3.5,4
DSW,14,4,4,,3,4,,4,4,,4,3.5,4
DSW,15,4,4,,2,4,,3,4,,4,3,3.5
DSW,16,4,4,,3,4,,4,4,,4,3.5,4
eBay,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,3,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,4,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,5,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,6,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,7,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,8,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,9,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,10,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,11,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,12,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,13,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,14,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,15,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
eBay,16,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,3,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,4,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,5,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,6,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,7,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,8,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,9,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,10,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,11,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,12,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,13,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,14,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Electrifying Times,15,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Fanatics,1,3,,,1,,,1,,,3,1,1
Fanatics,2,3,,,3,,,3,,,3,3,3
Fanatics,3,3,,,3,,,3,,,3,3,3
Fanatics,4,3,,,3,,,3,,,3,3,3
Fanatics,5,3,,,3,,,3,,,3,3,3
Fanatics,6,2,,,3,,,4,,,2,3,4
Fanatics,7,3,,,4,,,4,,,3,4,4
Fanatics,8,4,,,3,,,3,,,4,3,3
Fanatics,9,3,,,3,,,2,,,3,3,2
Fanatics,10,4,,,3,,,3,,,4,3,3
Fanatics,11,4,,,3,,,3,,,4,3,3
Fanatics,12,2,,,2,,,3,,,2,2,3
Fanatics,13,3,,,2,,,3,,,3,2,3
Fanatics,14,3,,,2,,,3,,,3,2,3
Fanatics,15,4,,,3,,,3,,,4,3,3
Flipkart,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,3,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,4,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,5,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,6,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,7,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,8,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,9,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,10,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,11,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,12,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,13,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,14,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Flipkart,15,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Footlocker,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Footlocker,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Footlocker,3,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Footlocker,4,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
